Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
Comoros,Africa,8925,1026.333,0,0,0,160,18.399,0,0,0
Guinea-Bissau,Africa,8848,449.593,0,0,0,176,8.943,0,0,0
American Samoa,Western Pacific,8262,14968.205,0,0,0,34,61.598,0,0,0
Liberia,Africa,8014,158.452,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7758,97.255,0,0,0,125,1.567,0,0,0
Chad,Africa,7637,46.494,6,0.037,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6552,12317.642,0,0,0,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6431,16609.846,0,0,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6275,2863.218,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5572,30798.143,42,232.147,0,7,38.691,0,0,0
Saint Barthélemy,Americas,5336,53980.779,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,4618,42625.069,8,73.842,0,1,9.23,0,0,0
Anguilla,Americas,3866,25769.897,0,0,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Wallis and Futuna,Western Pacific,3415,30366.352,0,0,0,7,62.244,0,0,0
Saint Pierre and Miquelon,Americas,3233,55789.474,3,51.769,0,1,17.256,0,0,0
Saint Helena,Africa,2159,35562.51,44,724.757,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,1555,13186.906,1089,9235.075,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1205,38388.022,1,31.857,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Saba,Americas,733,37920.331,1,51.733,0,2,103.466,0,0,0
Niue,Western Pacific,93,5747.837,8,494.438,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
